#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
C (CH)|  1|<| 6.10| 0.34|     |     |     |     |CS 22891-184
N (NH)|  1|<| 6.30| 1.14|     |     |     |     |CS 22891-184
O I   |  3| | 6.41| 0.40| 0.08| 0.18| 0.10| 0.20|CS 22891-184
Mg I  |  7| | 5.28| 0.36| 0.05| 0.17| 0.07| 0.20|CS 22891-184
Al I  |  2| | 2.91|-0.86| 0.09| 0.20| 0.13| 0.23|CS 22891-184
Si I  |  1| | 5.15| 0.32| 0.16| 0.31| 0.25| 0.33|CS 22891-184
Ca I  | 14| | 4.03| 0.37| 0.11| 0.19| 0.12| 0.22|CS 22891-184
Sc II |  4| | 0.41|-0.07| 0.05| 0.16| 0.19| 0.08|CS 22891-184
Ti I  |  6| | 2.50| 0.23| 0.06| 0.17| 0.09| 0.20|CS 22891-184
Ti II | 21| | 2.45| 0.17| 0.05| 0.16| 0.19| 0.08|CS 22891-184
V II  |  2| | 1.25|-0.01| 0.20| 0.25| 0.28| 0.21|CS 22891-184
Cr I  |  4| | 2.72|-0.24| 0.05| 0.17| 0.08| 0.20|CS 22891-184
Cr II |  2| | 3.13| 0.16| 0.06| 0.16| 0.20| 0.09|CS 22891-184
Mn I  |  4| | 2.44|-0.31| 0.06| 0.17| 0.08| 0.20|CS 22891-184
Co I  |  1| | 2.11|-0.20| 0.11| 0.19| 0.13| 0.22|CS 22891-184
Ni I  |  3| | 3.47|-0.07| 0.12| 0.20| 0.13| 0.22|CS 22891-184
Zn I  |  2|<| 2.27| 0.39|     |     |     |     |CS 22891-184
Rb I  |  1|<| 2.35| 2.51|     |     |     |     |CS 22891-184
Sr II |  2| | 0.37| 0.17| 0.04| 0.26| 0.25| 0.20|CS 22891-184
Y II  |  2| |-1.11|-0.65| 0.14| 0.20| 0.24| 0.15|CS 22891-184
Zr II |  1| |-0.06| 0.03| 0.06| 0.16| 0.20| 0.09|CS 22891-184
Mo I  |  1|<| 0.98| 1.78|     |     |     |     |CS 22891-184
Tc I  |  1|<| 1.23|     |     |     |     |     |CS 22891-184
Ba II |  3| |-0.68|-0.19| 0.06| 0.16| 0.20| 0.09|CS 22891-184
Ce II |  4|<|-0.80| 0.29|     |     |     |     |CS 22891-184
Pr II |  4|<|-1.13| 0.82|     |     |     |     |CS 22891-184
Nd II |  4|<|-0.87| 0.38|     |     |     |     |CS 22891-184
Sm II |  2|<|-0.82| 0.89|     |     |     |     |CS 22891-184
Eu II |  2|<|-1.87| 0.28|     |     |     |     |CS 22891-184
Gd II |  3|<|-0.51| 1.09|     |     |     |     |CS 22891-184
Tb II |  3|<|-1.12| 1.25|     |     |     |     |CS 22891-184
Dy II |  2|<|-0.99| 0.58|     |     |     |     |CS 22891-184
Er II |  3|<|-0.91| 0.84|     |     |     |     |CS 22891-184
Tm II |  2|<|-1.40| 1.17|     |     |     |     |CS 22891-184
Yb II |  1| |-1.94|-0.19| 0.11| 0.19| 0.22| 0.13|CS 22891-184
Hf II |  2|<|-0.14| 1.68|     |     |     |     |CS 22891-184
Pb I  |  1|<| 1.40| 2.04|     |     |     |     |CS 22891-184
Th II |  2|<|-1.08| 1.53|     |     |     |     |CS 22891-184
Fe I  | 87| | 3.44|-4.06| 0.06| 0.15| 0.00| 0.00|CS 22891-200
Fe II |  9| | 3.62|-3.88| 0.08| 0.16| 0.00| 0.00|CS 22891-200
Li I  |  1|<| 0.13|     |     |     |     |     |CS 22891-200
C (CH)|  1| | 4.90| 0.35| 0.15| 0.25| 0.19| 0.20|CS 22891-200
N (NH)|  1| | 5.15| 1.20| 0.30| 0.36| 0.32| 0.33|CS 22891-200
O I   |  4|<| 6.30| 1.67|     |     |     |     |CS 22891-200
Mg I  |  9| | 4.36| 0.82| 0.06| 0.16| 0.09| 0.18|CS 22891-200
Al I  |  1| | 2.02|-0.37| 0.09| 0.28| 0.23| 0.30|CS 22891-200
Si I  |  1| | 4.50| 1.05| 0.16| 0.20| 0.17| 0.24|CS 22891-200
K I   |  1| | 1.29| 0.32| 0.19| 0.23| 0.20| 0.26|CS 22891-200
Ca I  | 12| | 3.05| 0.77| 0.11| 0.17| 0.13| 0.21|CS 22891-200
Sc II |  5| |-1.18|-0.45| 0.07| 0.15| 0.18| 0.11|CS 22891-200
Ti I  |  9| | 1.14| 0.25| 0.07| 0.15| 0.09| 0.19|CS 22891-200
Ti II | 24| | 1.21| 0.14| 0.07| 0.15| 0.18| 0.11|CS 22891-200
V II  |  1| | 0.05| 0.00| 0.23| 0.27| 0.29| 0.24|CS 22891-200
Cr I  |  4| | 1.15|-0.43| 0.04| 0.15| 0.08| 0.19|CS 22891-200
Mn I  |  3| | 0.35|-1.02| 0.05| 0.14| 0.08| 0.18|CS 22891-200
Mn II |  1| | 0.50|-1.05| 0.32| 0.35| 0.36| 0.33|CS 22891-200
Co I  |  6| | 0.75|-0.18| 0.13| 0.19| 0.15| 0.22|CS 22891-200
Ni I  |  4| | 2.02|-0.14| 0.12| 0.20| 0.14| 0.23|CS 22891-200
Zn I  |  2|<| 1.37| 0.87|     |     |     |     |CS 22891-200
Sr II |  2| |-2.37|-1.36| 0.04| 0.15| 0.17| 0.11|CS 22891-200
Y II  |  2| |-2.85|-1.18| 0.19| 0.24| 0.25| 0.21|CS 22891-200
Nb II |  1|<|-0.22| 2.20|     |     |     |     |CS 22891-200
Mo I  |  1|<|-0.86| 1.32|     |     |     |     |CS 22891-200
Tc I  |  1|<|-0.68|     |     |     |     |     |CS 22891-200
Ba II |  2| |-2.63|-0.93| 0.06| 0.15| 0.18| 0.10|CS 22891-200
Ce II |  5|<|-2.07| 0.23|     |     |     |     |CS 22891-200
Pr II |  4|<|-2.64| 0.52|     |     |     |     |CS 22891-200
Nd II |  5|<|-2.30| 0.16|     |     |     |     |CS 22891-200
Sm II |  2|<|-1.97| 0.95|     |     |     |     |CS 22891-200
Eu II |  2| |-3.43|-0.07| 0.17| 0.22| 0.24| 0.19|CS 22891-200
Gd II |  2|<|-1.65| 1.16|     |     |     |     |CS 22891-200
Tb II |  3|<|-2.34| 1.24|     |     |     |     |CS 22891-200
Dy II |  3|<|-2.44| 0.34|     |     |     |     |CS 22891-200
Ho II |  1|<|-2.65| 0.75|     |     |     |     |CS 22891-200
Er II |  2|<|-2.30| 0.66|     |     |     |     |CS 22891-200
Tm II |  2|<|-2.61| 1.17|     |     |     |     |CS 22891-200
Yb II |  1|<|-3.18|-0.22|     |     |     |     |CS 22891-200
Hf II |  2|<|-1.41| 1.62|     |     |     |     |CS 22891-200
Ir I  |  1|<|-0.85| 1.83|     |     |     |     |CS 22891-200
Pb I  |  1|<| 0.15| 2.17|     |     |     |     |CS 22891-200
Th II |  3|<|-2.46| 1.36|     |     |     |     |CS 22891-200
Fe I  |100| | 4.01|-3.49| 0.06| 0.15| 0.00| 0.00|CS 22891-209
Fe II |  8| | 4.24|-3.26| 0.07| 0.16| 0.00| 0.00|CS 22891-209
Li I  |  1|<| 0.38|     |     |     |     |     |CS 22891-209
C (CH)|  1| | 4.52|-0.65| 0.15| 0.25| 0.19| 0.19|CS 22891-209
N (NH)|  1| | 5.42| 0.85| 0.30| 0.36| 0.32| 0.32|CS 22891-209
O I   |  3|<| 6.75| 1.55|     |     |     |     |CS 22891-209
Mg I  |  9| | 4.63| 0.53| 0.05| 0.15| 0.09| 0.17|CS 22891-209
Al I  |  2| | 2.78|-0.18| 0.09| 0.29| 0.24| 0.29|CS 22891-209
Si I  |  1| | 4.92| 0.90| 0.15| 0.28| 0.22| 0.25|CS 22891-209
Ca I  | 12| | 3.25| 0.41| 0.11| 0.17| 0.12| 0.20|CS 22891-209
Sc II |  7| |-0.13|-0.02| 0.06| 0.15| 0.17| 0.10|CS 22891-209
Ti I  | 16| | 1.68| 0.22| 0.07| 0.15| 0.09| 0.18|CS 22891-209
Ti II | 26| | 1.95| 0.26| 0.05| 0.15| 0.17| 0.09|CS 22891-209
V I   |  1| | 0.46| 0.02| 0.12| 0.18| 0.14| 0.21|CS 22891-209
V II  |  2| | 0.65|-0.02| 0.20| 0.25| 0.26| 0.21|CS 22891-209
Cr I  | 10| | 2.03|-0.12| 0.07| 0.15| 0.10| 0.19|CS 22891-209
Cr II |  2| | 2.51| 0.14| 0.10| 0.17| 0.19| 0.12|CS 22891-209
Mn I  |  4| | 1.60|-0.33| 0.06| 0.17| 0.10| 0.20|CS 22891-209
Mn II |  3| | 1.65|-0.51| 0.15| 0.21| 0.22| 0.17|CS 22891-209
Co I  |  4| | 1.53| 0.03| 0.13| 0.20| 0.15| 0.23|CS 22891-209
Ni I  |  5| | 2.81| 0.08| 0.11| 0.21| 0.15| 0.23|CS 22891-209
Zn I  |  3| | 1.76| 0.69| 0.09| 0.16| 0.11| 0.19|CS 22891-209
Rb I  |  1|<| 1.75| 2.72|     |     |     |     |CS 22891-209
Sr II |  2| | 0.01| 0.41| 0.03| 0.19| 0.19| 0.22|CS 22891-209
Y II  |  4| |-1.22|-0.16| 0.08| 0.16| 0.18| 0.12|CS 22891-209
Zr II |  3| |-0.35| 0.33| 0.06| 0.15| 0.18| 0.09|CS 22891-209
Nb II |  1|<|-0.19| 1.61|     |     |     |     |CS 22891-209
Mo I  |  1|<|-0.63| 0.98|     |     |     |     |CS 22891-209
Tc I  |  1|<|-0.49|     |     |     |     |     |CS 22891-209
Sn I  |  1|<| 1.04| 2.46|     |     |     |     |CS 22891-209
Ba II |  3| |-1.66|-0.57| 0.05| 0.15| 0.17| 0.09|CS 22891-209
La II |  3| |-2.44|-0.28| 0.11| 0.18| 0.20| 0.13|CS 22891-209
Ce II |  5|<|-1.82|-0.14|     |     |     |     |CS 22891-209
Pr II |  5|<|-2.18| 0.36|     |     |     |     |CS 22891-209
Nd II |  1| |-2.07|-0.23| 0.16| 0.21| 0.23| 0.17|CS 22891-209
Eu II |  2| |-2.87|-0.13| 0.14| 0.20| 0.22| 0.16|CS 22891-209
Gd II |  3|<|-1.37| 0.82|     |     |     |     |CS 22891-209
Tb II |  3|<|-2.21| 0.75|     |     |     |     |CS 22891-209
Dy II |  1| |-2.34|-0.18| 0.22| 0.26| 0.27| 0.23|CS 22891-209
Ho II |  1|<|-2.10| 0.68|     |     |     |     |CS 22891-209
Er II |  2|<|-2.26| 0.08|     |     |     |     |CS 22891-209
Yb II |  1| |-3.03|-0.69| 0.24| 0.28| 0.29| 0.25|CS 22891-209
Hf II |  1|<|-1.35| 1.06|     |     |     |     |CS 22891-209
Ir I  |  1|<|-0.61| 1.50|     |     |     |     |CS 22891-209
Pb I  |  1|<| 0.39| 1.84|     |     |     |     |CS 22891-209
Th II |  3|<|-2.50| 0.70|     |     |     |     |CS 22891-209
Fe I  | 96| | 4.27|-3.23| 0.07| 0.15| 0.00| 0.00|CS 22891-221
Fe II |  3| | 4.02|-3.48| 0.10| 0.17| 0.00| 0.00|CS 22891-221
Li I  |  1|<| 1.07|     |     |     |     |     |CS 22891-221
C (CH)|  1| | 5.64| 0.67| 0.15| 0.25| 0.19| 0.21|CS 22891-221
N (CN)|  1|<| 6.60| 2.23|     |     |     |     |CS 22891-221
O I   |  3|<| 6.76| 1.30|     |     |     |     |CS 22891-221
Na I  |  1| | 2.75|-0.26| 0.10| 0.20| 0.15| 0.25|CS 22891-221
Mg I  |  4| | 4.84| 0.47| 0.06| 0.14| 0.09| 0.20|CS 22891-221
Al I  |  1| | 2.81|-0.41| 0.09| 0.29| 0.24| 0.31|CS 22891-221
Ca I  | 13| | 3.49| 0.38| 0.11| 0.17| 0.13| 0.22|CS 22891-221
Sc II |  3| |-0.44|-0.11| 0.10| 0.17| 0.20| 0.14|CS 22891-221
Ti I  |  7| | 1.99| 0.26| 0.08| 0.15| 0.11| 0.20|CS 22891-221
Ti II | 13| | 1.53| 0.05| 0.07| 0.15| 0.18| 0.12|CS 22891-221
V I   |  1| | 0.77| 0.07| 0.19| 0.23| 0.20| 0.27|CS 22891-221
V II  |  1|<| 1.31| 0.86|     |     |     |     |CS 22891-221
Cr I  |  5| | 2.24|-0.17| 0.08| 0.15| 0.10| 0.21|CS 22891-221
Mn I  |  3| | 1.91|-0.29| 0.05| 0.15| 0.09| 0.20|CS 22891-221
Co I  |  2| | 1.71|-0.05| 0.12| 0.18| 0.14| 0.22|CS 22891-221
Ni I  |  3| | 3.01| 0.02| 0.12| 0.18| 0.14| 0.23|CS 22891-221
Zn I  |  2|<| 1.70| 0.37|     |     |     |     |CS 22891-221
Rb I  |  1|<| 2.25| 2.96|     |     |     |     |CS 22891-221
Sr II |  2| |-1.16|-0.56| 0.04| 0.16| 0.18| 0.15|CS 22891-221
Zr II |  1|<|-0.54| 0.36|     |     |     |     |CS 22891-221
Nb II |  1|<| 1.03| 3.05|     |     |     |     |CS 22891-221
Mo I  |  1|<| 0.28| 1.63|     |     |     |     |CS 22891-221
Tc I  |  1|<| 0.88|     |     |     |     |     |CS 22891-221
Sn I  |  1|<| 1.80| 2.96|     |     |     |     |CS 22891-221
Ba II |  1| |-1.44|-0.14| 0.05| 0.15| 0.18| 0.12|CS 22891-221
La II |  1|<|-1.45| 0.93|     |     |     |     |CS 22891-221
Ce II |  5|<|-0.83| 1.07|     |     |     |     |CS 22891-221
Pr II |  1|<|-1.43| 1.33|     |     |     |     |CS 22891-221
Nd II |  5|<|-0.91| 1.15|     |     |     |     |CS 22891-221
Sm II |  2|<|-0.96| 1.56|     |     |     |     |CS 22891-221
Eu II |  1|<|-1.87| 1.09|     |     |     |     |CS 22891-221
Gd II |  3|<|-0.40| 2.01|     |     |     |     |CS 22891-221
Tb II |  3|<|-1.14| 2.04|     |     |     |     |CS 22891-221
Dy II |  1|<|-1.13| 1.25|     |     |     |     |CS 22891-221
Ho II |  1|<|-0.90| 2.10|     |     |     |     |CS 22891-221
Er II |  3|<|-0.92| 1.64|     |     |     |     |CS 22891-221
Tm II |  2|<|-1.20| 2.18|     |     |     |     |CS 22891-221
Yb II |  1| |-1.97| 0.59| 0.31| 0.34| 0.35| 0.32|CS 22891-221
Hf II |  2|<|-0.26| 2.37|     |     |     |     |CS 22891-221
Ir I  |  1|<| 0.70| 2.55|     |     |     |     |CS 22891-221
Pb I  |  1|<| 1.06| 2.25|     |     |     |     |CS 22891-221
Th II |  3|<|-1.22| 2.20|     |     |     |     |CS 22891-221
Fe I  | 77| | 4.72|-2.78| 0.08| 0.21| 0.00| 0.00|CS 22892-025
Fe II |  7| | 4.84|-2.66| 0.08| 0.15| 0.00| 0.00|CS 22892-025
Li I  |  1| | 2.01|     | 0.07| 0.20| 0.11| 0.21|CS 22892-025
C (CH)|  1| | 6.41| 0.65| 0.15| 0.25| 0.20| 0.20|CS 22892-025
N (NH)|  1|<| 6.65| 1.49|     |     |     |     |CS 22892-025
O I   |  4|<| 6.20| 0.29|     |     |     |     |CS 22892-025
Mg I  |  6| | 5.17| 0.35| 0.06| 0.21| 0.10| 0.21|CS 22892-025
Al I  |  2| | 2.91|-0.76| 0.09| 0.24| 0.14| 0.25|CS 22892-025
Si I  |  1| | 5.18| 0.45| 0.16| 0.36| 0.24| 0.32|CS 22892-025
Ca I  | 11| | 4.05| 0.49| 0.11| 0.22| 0.14| 0.23|CS 22892-025
Sc II |  4| | 0.51| 0.02| 0.09| 0.15| 0.22| 0.12|CS 22892-025
Ti I  |  4| | 2.58| 0.41| 0.09| 0.21| 0.12| 0.22|CS 22892-025
Ti II | 13| | 2.51| 0.22| 0.05| 0.14| 0.20| 0.11|CS 22892-025
V II  |  2|<| 1.85| 0.58|     |     |     |     |CS 22892-025
Cr I  |  4| | 2.74|-0.12| 0.05| 0.20| 0.09| 0.21|CS 22892-025
Cr II |  1| | 3.07| 0.09| 0.16| 0.20| 0.26| 0.18|CS 22892-025
Mn I  |  3| | 2.33|-0.32| 0.07| 0.20| 0.10| 0.21|CS 22892-025
Mn II |  4| | 2.30|-0.47| 0.16| 0.21| 0.25| 0.18|CS 22892-025
Co I  |  2| | 2.42| 0.21| 0.14| 0.23| 0.16| 0.24|CS 22892-025
Ni I  |  7| | 3.44| 0.00| 0.16| 0.26| 0.18| 0.27|CS 22892-025
Zn I  |  2|<| 2.49| 0.71|     |     |     |     |CS 22892-025
Rb I  |  1|<| 2.82| 3.08|     |     |     |     |CS 22892-025
Sr II |  2| |-0.11|-0.32| 0.04| 0.19| 0.23| 0.18|CS 22892-025
Y II  |  6|<|-0.59|-0.14|     |     |     |     |CS 22892-025
Zr II |  3|<| 0.37| 0.45|     |     |     |     |CS 22892-025
Mo I  |  1|<| 1.27| 2.17|     |     |     |     |CS 22892-025
Tc I  |  1|<| 1.76|     |     |     |     |     |CS 22892-025
Ba II |  1| |-0.96|-0.48| 0.05| 0.14| 0.21| 0.10|CS 22892-025
La II |  4|<|-0.37| 1.19|     |     |     |     |CS 22892-025
Ce II |  5|<| 0.23| 1.31|     |     |     |     |CS 22892-025
Pr II |  5|<|-0.06| 1.88|     |     |     |     |CS 22892-025
Nd II |  5|<| 0.06| 1.30|     |     |     |     |CS 22892-025
Sm II |  2|<|-0.06| 1.64|     |     |     |     |CS 22892-025
Eu II |  4|<|-1.17| 0.97|     |     |     |     |CS 22892-025
Gd II |  2|<| 0.32| 1.91|     |     |     |     |CS 22892-025
Tb II |  4|<|-0.05| 2.31|     |     |     |     |CS 22892-025
Dy II |  3|<|-0.29| 1.27|     |     |     |     |CS 22892-025
Ho II |  1|<|-0.31| 1.87|     |     |     |     |CS 22892-025
Er II |  3|<| 0.05| 1.79|     |     |     |     |CS 22892-025
Tm II |  2|<|-0.37| 2.19|     |     |     |     |CS 22892-025
Yb II |  1|<|-1.00| 0.74|     |     |     |     |CS 22892-025
Hf II |  2|<| 0.79| 2.60|     |     |     |     |CS 22892-025
Pb I  |  1|<| 1.85| 2.59|     |     |     |     |CS 22892-025
Th II |  3|<|-0.34| 2.26|     |     |     |     |CS 22892-025
Fe I  | 98| | 4.26|-3.24| 0.06| 0.14| 0.00| 0.00|CS 22892-052
Fe II |  9| | 4.34|-3.16| 0.07| 0.15| 0.00| 0.00|CS 22892-052
Li I  |  1|<| 0.26|     |     |     |     |     |CS 22892-052
C (CH)|  1| | 6.11| 0.84| 0.15| 0.25| 0.19| 0.19|CS 22892-052
N (NH)|  1| | 5.50| 0.83| 0.30| 0.36| 0.32| 0.32|CS 22892-052
O I   |  4|<| 6.50| 1.05|     |     |     |     |CS 22892-052
Mg I  |  7| | 4.77| 0.41| 0.05| 0.16| 0.08| 0.17|CS 22892-052
Al I  |  1| | 2.80|-0.41| 0.09| 0.30| 0.24| 0.30|CS 22892-052
Si I  |  1| | 5.17| 0.90| 0.20| 0.24| 0.21| 0.26|CS 22892-052
K I   |  1| | 2.12| 0.33| 0.13| 0.19| 0.15| 0.22|CS 22892-052
Ca I  |  8| | 3.53| 0.43| 0.11| 0.17| 0.12| 0.20|CS 22892-052
Sc II |  3| |-0.28|-0.27| 0.07| 0.16| 0.18| 0.10|CS 22892-052
Ti I  | 16| | 1.80| 0.09| 0.07| 0.15| 0.09| 0.18|CS 22892-052
Ti II | 28| | 1.94| 0.14| 0.06| 0.15| 0.17| 0.10|CS 22892-052
V II  |  1| | 0.58|-0.19| 0.20| 0.24| 0.26| 0.21|CS 22892-052
Cr I  |  8| | 2.11|-0.28| 0.07| 0.15| 0.09| 0.18|CS 22892-052
Cr II |  1| | 2.71| 0.23| 0.09| 0.17| 0.19| 0.11|CS 22892-052
Mn I  |  1| | 1.66|-0.53| 0.08| 0.15| 0.10| 0.19|CS 22892-052
Mn II |  4| | 1.64|-0.64| 0.15| 0.21| 0.22| 0.17|CS 22892-052
Co I  |  5| | 1.52|-0.22| 0.15| 0.24| 0.19| 0.26|CS 22892-052
Ni I  | 11| | 2.96|-0.02| 0.15| 0.21| 0.17| 0.23|CS 22892-052
Cu I  |  1|<| 0.78|-0.17|     |     |     |     |CS 22892-052
Zn I  |  2| | 1.82| 0.50| 0.07| 0.15| 0.09| 0.18|CS 22892-052
Rb I  |  1|<| 1.68| 2.40|     |     |     |     |CS 22892-052
Sr II |  2| | 0.39| 0.68| 0.03| 0.17| 0.16| 0.19|CS 22892-052
Y II  |  7| |-0.80| 0.15| 0.07| 0.15| 0.18| 0.10|CS 22892-052
Zr II |  3| |-0.01| 0.56| 0.05| 0.15| 0.17| 0.09|CS 22892-052
Nb II |  1|<| 0.05| 1.75|     |     |     |     |CS 22892-052
Mo I  |  1| |-0.64| 0.72| 0.23| 0.26| 0.23| 0.28|CS 22892-052
Ru I  |  1| |-0.25| 1.24| 0.22| 0.26| 0.23| 0.28|CS 22892-052
Ba II |  4| |-0.03| 0.94| 0.05| 0.16| 0.17| 0.13|CS 22892-052
La II |  4| |-1.14| 0.91| 0.05| 0.15| 0.17| 0.09|CS 22892-052
Ce II |  4| |-0.73| 0.85| 0.06| 0.15| 0.18| 0.09|CS 22892-052
Pr II |  2| |-1.29| 1.15| 0.05| 0.15| 0.18| 0.09|CS 22892-052
Nd II |  5| |-0.58| 1.15| 0.04| 0.14| 0.17| 0.08|CS 22892-052
Sm II |  2| |-0.95| 1.25| 0.04| 0.15| 0.17| 0.08|CS 22892-052
Eu II |  4| |-1.28| 1.35| 0.06| 0.22| 0.22| 0.22|CS 22892-052
Gd II |  2| |-0.64| 1.45| 0.05| 0.15| 0.18| 0.09|CS 22892-052
Tb II |  3| |-1.49| 1.37| 0.10| 0.17| 0.19| 0.12|CS 22892-052
Dy II |  4| |-0.38| 1.67| 0.06| 0.16| 0.17| 0.11|CS 22892-052
Ho II |  2| |-1.23| 1.45| 0.06| 0.20| 0.21| 0.18|CS 22892-052
Er II |  3| |-0.70| 1.54| 0.09| 0.17| 0.19| 0.12|CS 22892-052
Tm II |  1| |-1.66| 1.40| 0.08| 0.16| 0.19| 0.11|CS 22892-052
Yb II |  1| |-0.85| 1.39| 0.10| 0.27| 0.27| 0.27|CS 22892-052
Hf II |  2| |-1.26| 1.05| 0.18| 0.22| 0.24| 0.19|CS 22892-052
Ir I  |  1| |-0.18| 1.68| 0.17| 0.21| 0.18| 0.24|CS 22892-052
Pb I  |  1|<|-0.15| 1.05|     |     |     |     |CS 22892-052
Th II |  1| |-1.81| 1.29| 0.10| 0.17| 0.19| 0.12|CS 22892-052
Fe I  |117| | 4.51|-2.99| 0.06| 0.15| 0.00| 0.00|CS 22893-005
Fe II |  8| | 4.57|-2.93| 0.07| 0.16| 0.00| 0.00|CS 22893-005
Li I  |  1| | 1.54|     | 0.06| 0.14| 0.09| 0.18|CS 22893-005
C (CH)|  1| | 5.55| 0.05| 0.15| 0.25| 0.19| 0.19|CS 22893-005
N (NH)|  1| | 5.25| 0.35| 0.30| 0.36| 0.32| 0.32|CS 22893-005
O I   |  3|<| 6.75| 1.05|     |     |     |     |CS 22893-005
Na I  |  1| | 3.20|-0.05| 0.10| 0.27| 0.21| 0.28|CS 22893-005
Mg I  |  7| | 5.12| 0.51| 0.05| 0.15| 0.08| 0.18|CS 22893-005
Al I  |  1| | 2.92|-0.54| 0.09| 0.28| 0.22| 0.29|CS 22893-005
Si I  |  1| | 5.30| 0.78| 0.15| 0.28| 0.22| 0.26|CS 22893-005
Ca I  | 13| | 3.85| 0.50| 0.11| 0.17| 0.12| 0.20|CS 22893-005
Sc II |  3| | 0.26| 0.04| 0.05| 0.15| 0.17| 0.09|CS 22893-005
Ti I  |  9| | 2.26| 0.30| 0.06| 0.14| 0.09| 0.18|CS 22893-005
Ti II | 20| | 2.22| 0.19| 0.06| 0.15| 0.18| 0.10|CS 22893-005
V II  |  1| | 1.41| 0.41| 0.22| 0.26| 0.28| 0.23|CS 22893-005
Cr I  |  5| | 2.46|-0.19| 0.06| 0.15| 0.09| 0.19|CS 22893-005
Cr II |  1| | 2.87| 0.16| 0.10| 0.17| 0.20| 0.13|CS 22893-005
Mn I  |  4| | 2.12|-0.32| 0.07| 0.16| 0.10| 0.19|CS 22893-005
Mn II |  3| | 2.08|-0.42| 0.16| 0.21| 0.23| 0.18|CS 22893-005
Co I  |  3| | 1.96|-0.04| 0.12| 0.18| 0.13| 0.21|CS 22893-005
Ni I  |  3| | 3.36| 0.13| 0.11| 0.18| 0.13| 0.21|CS 22893-005
Zn I  |  2|<| 2.08| 0.51|     |     |     |     |CS 22893-005
Rb I  |  1|<| 2.33| 2.80|     |     |     |     |CS 22893-005
Sr II |  2| |-0.39|-0.33| 0.04| 0.19| 0.20| 0.17|CS 22893-005
Y II  |  1| |-1.37|-0.65| 0.15| 0.20| 0.22| 0.16|CS 22893-005
Zr II |  1| |-0.29| 0.06| 0.14| 0.20| 0.22| 0.16|CS 22893-005
Nb II |  1|<| 0.96| 2.43|     |     |     |     |CS 22893-005
Mo I  |  1|<| 0.44| 1.55|     |     |     |     |CS 22893-005
Ba II |  2| |-1.52|-0.77| 0.08| 0.16| 0.19| 0.11|CS 22893-005
Ce II |  5|<|-0.67| 0.68|     |     |     |     |CS 22893-005
Pr II |  3|<|-0.98| 1.23|     |     |     |     |CS 22893-005
Nd II |  3|<|-0.30| 1.21|     |     |     |     |CS 22893-005
